Id,SOURCE,TARGET,LabelSource,LabelTarget
0,2682,1651,Tencent,IDG Capital
1,304,1651,SenseTime,IDG Capital
2,1422,1651,WeRide,IDG Capital
3,2238,1651,Shein,IDG Capital
4,1516,1651,NIO,IDG Capital
5,1874,1651,Razer,IDG Capital
6,1969,1651,Meituan,IDG Capital
7,507,1651,KuCoin,IDG Capital
8,2242,1651,iQiyi,IDG Capital
9,995,1651,Pinduoduo,IDG Capital
10,2191,1651,Ripple,IDG Capital
11,2012,1651,Matrixport,IDG Capital
12,409,1651,Animoca Brands,IDG Capital
13,1322,1651,CertiK,IDG Capital
14,402,1651,Fastly,IDG Capital
15,1687,1651,Course Hero,IDG Capital
16,1287,1651,Bizongo,IDG Capital
17,1410,1651,Farfetch,IDG Capital
18,2276,1651,Bitmain,IDG Capital
19,2425,1651,Baidu,IDG Capital
20,2682,1350,Tencent,Prosus & Naspers
21,2596,1350,Foodpanda,Prosus & Naspers
22,1970,1350,DST Global,Prosus & Naspers
23,2682,1218,Tencent,Lippo Group
24,2682,2477,Tencent,PCCW
25,89,1199,Twitter,Andreessen Horowitz
26,445,1199,Solana,Andreessen Horowitz
27,1676,1199,Substack,Andreessen Horowitz
28,1484,1199,Stripe,Andreessen Horowitz
29,2480,1199,Wonderschool,Andreessen Horowitz
30,252,1199,Worldcoin,Andreessen Horowitz
31,2038,1199,SpotOn,Andreessen Horowitz
32,731,1199,Spring,Andreessen Horowitz
33,1364,1199,Season Health,Andreessen Horowitz
34,1281,1199,Tanium,Andreessen Horowitz
35,418,1199,Workrise,Andreessen Horowitz
36,833,1199,Whatnot,Andreessen Horowitz
37,1769,1199,Sift,Andreessen Horowitz
38,582,1199,Trunk,Andreessen Horowitz
39,810,1199,Zynga,Andreessen Horowitz
40,637,1199,Yield Guild Games,Andreessen Horowitz
41,149,1199,Slack,Andreessen Horowitz
42,2220,1199,Lyft,Andreessen Horowitz
43,598,1199,Okta,Andreessen Horowitz
44,1207,1199,LayerZero Labs,Andreessen Horowitz
45,41,1199,Helium,Andreessen Horowitz
46,282,1199,Improbable,Andreessen Horowitz
47,909,1199,Jeeves,Andreessen Horowitz
48,454,1199,Robinhood,Andreessen Horowitz
49,2399,1199,Roblox,Andreessen Horowitz
50,58,1199,Hadrian,Andreessen Horowitz
51,273,1199,Greenlight,Andreessen Horowitz
52,437,1199,Health IQ,Andreessen Horowitz
53,408,1199,Overwolf,Andreessen Horowitz
54,693,1199,Oculus,Andreessen Horowitz
55,998,1199,Pindrop,Andreessen Horowitz
56,513,1199,Optimism,Andreessen Horowitz
57,2210,1199,Jumio,Andreessen Horowitz
58,1631,1199,OpenSea,Andreessen Horowitz
59,544,1199,Rutter,Andreessen Horowitz
60,160,1199,Mux,Andreessen Horowitz
61,1073,1199,People.ai,Andreessen Horowitz
62,1342,1199,PagerDuty,Andreessen Horowitz
63,2096,1199,Komodo Health,Andreessen Horowitz
64,611,1199,Rigetti Computing,Andreessen Horowitz
65,2235,1199,Hex Technologies,Andreessen Horowitz
66,1832,1199,Payrails,Andreessen Horowitz
67,779,1199,Groupon,Andreessen Horowitz
68,679,1199,Omada Health,Andreessen Horowitz
69,831,1199,Mercury,Andreessen Horowitz
70,1294,1199,Reforge,Andreessen Horowitz
71,2191,1199,Ripple,Andreessen Horowitz
72,1771,1199,Polychain,Andreessen Horowitz
73,1693,1199,Latitud,Andreessen Horowitz
74,1945,1199,Protocol Labs,Andreessen Horowitz
75,2524,1199,Coinbase,Andreessen Horowitz
76,129,1199,AngelList,Andreessen Horowitz
77,987,1199,CoinSwitch Kuber,Andreessen Horowitz
78,2186,1199,DFINITY,Andreessen Horowitz
79,2578,1199,Fanatics,Andreessen Horowitz
80,1616,1199,Ava Labs,Andreessen Horowitz
81,344,1199,Anchorage,Andreessen Horowitz
82,681,1199,Current,Andreessen Horowitz
