Id,SOURCE,TARGET,LabelSource,LabelTarget
0,1969,1043,Tencent,IDG Capital
1,426,1043,SenseTime,IDG Capital
2,487,1043,WeRide,IDG Capital
3,1468,1043,Shein,IDG Capital
4,245,1043,NIO,IDG Capital
5,597,1043,Razer,IDG Capital
6,54,1043,Meituan,IDG Capital
7,1777,1043,KuCoin,IDG Capital
8,277,1043,iQiyi,IDG Capital
9,1140,1043,Pinduoduo,IDG Capital
10,1827,1043,Ripple,IDG Capital
11,2117,1043,Matrixport,IDG Capital
12,2086,1043,Animoca Brands,IDG Capital
13,1614,1043,CertiK,IDG Capital
14,1154,1043,Fastly,IDG Capital
15,809,1043,Course Hero,IDG Capital
16,506,1043,Bizongo,IDG Capital
17,1316,1043,Farfetch,IDG Capital
18,157,1043,Bitmain,IDG Capital
19,788,1043,Baidu,IDG Capital
20,1969,1874,Tencent,Prosus & Naspers
21,935,1874,Foodpanda,Prosus & Naspers
22,1757,1874,DST Global,Prosus & Naspers
23,1969,145,Tencent,Lippo Group
24,1969,836,Tencent,PCCW
25,426,367,SenseTime,Tiger Global Management
26,1468,367,Shein,Tiger Global Management
27,2117,367,Matrixport,Tiger Global Management
28,506,367,Bizongo,Tiger Global Management
29,1515,367,Helium,Tiger Global Management
30,1166,367,Roblox,Tiger Global Management
31,1658,367,Komodo Health,Tiger Global Management
32,960,367,AngelList,Tiger Global Management
33,219,367,CoinSwitch Kuber,Tiger Global Management
34,1533,367,Current,Tiger Global Management
35,1045,367,Aptos,Tiger Global Management
36,118,367,ByteDance,Tiger Global Management
37,1189,367,Wealthfront,Tiger Global Management
38,859,367,Scale AI,Tiger Global Management
39,207,367,Viz,Tiger Global Management
40,198,367,slice,Tiger Global Management
41,1435,367,Qonto,Tiger Global Management
42,250,367,MURAL,Tiger Global Management
43,904,367,SafetyCulture,Tiger Global Management
44,919,367,Apna,Tiger Global Management
45,1607,367,6sense,Tiger Global Management
46,1016,367,Dataiku,Tiger Global Management
47,869,367,Automattic,Tiger Global Management
48,177,367,CRED,Tiger Global Management
49,878,367,Checkout.com,Tiger Global Management
50,824,367,Aviatrix,Tiger Global Management
51,176,367,TrueLayer,Tiger Global Management
52,1384,367,PhonePe,Tiger Global Management
53,1031,367,Ola,Tiger Global Management
54,1118,367,Hike,Tiger Global Management
