Id,SOURCE,TARGET,LabelSource,LabelTarget
0,1433,946,IDG Capital,Tencent
1,861,946,Prosus & Naspers,Tencent
2,636,946,Lippo Group,Tencent
3,2058,946,PCCW,Tencent
4,1433,940,IDG Capital,SenseTime
5,825,940,Tiger Global Management,SenseTime
6,600,940,Silver Lake,SenseTime
7,916,940,CICC,SenseTime
8,437,940,Qualcomm,SenseTime
9,1433,1464,IDG Capital,WeRide
10,940,1464,SenseTime,WeRide
11,1217,1464,The Carlyle Group,WeRide
12,1051,1464,Bosch,WeRide
13,122,1464,Qiming Venture Partners,WeRide
14,1433,1791,IDG Capital,Shein
15,825,1791,Tiger Global Management,Shein
16,1940,1791,General Atlantic,Shein
17,695,1791,Sequoia Capital China,Shein
18,1902,1791,JAFCO Asia,Shein
19,1433,1543,IDG Capital,NIO
20,946,1543,Tencent,NIO
21,542,1543,Baillie Gifford,NIO
22,1365,1543,Hillhouse Capital Group,NIO
23,1518,1543,Lenovo,NIO
24,1433,821,IDG Capital,Razer
25,617,821,Accel,Razer
26,632,821,Intel Capital,Razer
27,1669,821,Horizons Ventures,Razer
28,1418,821,Lianluo,Razer
29,1433,62,IDG Capital,Meituan
30,946,62,Tencent,Meituan
31,542,62,Baillie Gifford,Meituan
32,924,62,Temasek Holdings,Meituan
33,674,62,Coatue,Meituan
34,1433,1781,IDG Capital,KuCoin
35,154,1781,Matrix Partners,KuCoin
36,392,1781,NEO Global Capital (NGC),KuCoin
37,1433,1382,IDG Capital,iQiyi
38,662,1382,Sequoia Capital,iQiyi
39,1365,1382,Hillhouse Capital Group,iQiyi
40,664,1382,Shunwei Capital,iQiyi
41,1000,1382,Boyu Capital,iQiyi
42,1433,1116,IDG Capital,Pinduoduo
43,946,1116,Tencent,Pinduoduo
44,1365,1116,Hillhouse Capital Group,Pinduoduo
45,695,1116,Sequoia Capital China,Pinduoduo
46,927,1116,Cathay Innovation,Pinduoduo
47,1433,16,IDG Capital,Ripple
48,1328,16,Andreessen Horowitz,Ripple
49,1873,16,Digital Currency Group,Ripple
50,1828,16,Blockchain Capital,Ripple
51,474,16,Accenture,Ripple
52,1433,168,IDG Capital,Matrixport
53,825,168,Tiger Global Management,Matrixport
54,1099,168,Polychain,Matrixport
55,830,168,Paradigm,Matrixport
56,1632,168,Dragonfly Capital Partners,Matrixport
57,1433,1896,IDG Capital,Animoca Brands
58,1899,1896,500 Startups,Animoca Brands
59,1693,1896,Mirae Asset Global Investments,Animoca Brands
60,914,1896,Ubisoft,Animoca Brands
61,1433,1068,IDG Capital,CertiK
62,1239,1068,Goldman Sachs,CertiK
63,662,1068,Sequoia Capital,CertiK
64,1365,1068,Hillhouse Capital Group,CertiK
65,1518,1068,Lenovo,CertiK
66,1433,265,IDG Capital,Fastly
67,555,265,Sorenson Capital,Fastly
68,365,265,Battery Ventures,Fastly
69,17,265,Amplify Partners,Fastly
70,1433,763,IDG Capital,Course Hero
71,845,763,Maveron,Course Hero
72,630,763,TPG,Course Hero
73,1439,763,Interplay,Course Hero
74,950,763,Innovation Endeavors,Course Hero
75,1433,383,IDG Capital,Bizongo
76,825,383,Tiger Global Management,Bizongo
77,617,383,Accel,Bizongo
78,659,383,International Finance Corporation,Bizongo
79,2001,383,B Capital Group,Bizongo
80,1433,1255,IDG Capital,Farfetch
81,946,1255,Tencent,Farfetch
82,381,1255,Alibaba Group,Farfetch
83,287,1255,Eurazeo,Farfetch
84,1433,583,IDG Capital,Bitmain
85,924,583,Temasek Holdings,Bitmain
86,674,583,Coatue,Bitmain
87,157,583,EDBI,Bitmain
88,695,583,Sequoia Capital China,Bitmain
89,1433,2000,IDG Capital,Baidu
90,1702,2000,Google,Baidu
91,753,2000,Threshold,Baidu
92,861,1478,Prosus & Naspers,Foodpanda
93,766,1478,Delivery Hero,Foodpanda
94,293,1478,Rocket Internet,Foodpanda
95,522,1478,Kinnevik,Foodpanda
96,1246,1478,Phenomen,Foodpanda
97,861,443,Prosus & Naspers,DST Global
98,946,443,Tencent,DST Global
99,1328,1558,Andreessen Horowitz,Twitter
100,904,1558,Morgan Stanley,Twitter
