Id,Label,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
0,Livspace,"Bengaluru, Karnataka, India",Active,For Profit,,,,,11.0,20.0,"Commerce and Shopping, Consumer Goods, Design, Real Estate","E-Commerce, Furniture, Interior Design",10.0,Late Stage Venture,2022-02-07,13430000000.0,INR,179885638.0,Series F,Series F,13430000000.0,INR,179885638.0,431577146.0,USD,431577146.0,1.0,976.201,"2,050,273.67",144.0,,,,"Square, Goldman Sachs, Jungle Ventures, Bessemer Venture Partners, IKEA"
1,Practo,"Bangalore, Karnataka, India",Active,For Profit,,,,,5.0,14.0,"Apps, Health Care, Mobile, Software","Health Care, Health Diagnostics, Medical, mHealth, Mobile Apps, Pharmaceutical, Wellness",7.0,Late Stage Venture,2020-08-15,32000000.0,USD,32000000.0,Series D,Series D,32000000.0,USD,32000000.0,228246376.0,USD,228246376.0,,"10,946,568","12,816,835.17",359.0,,,,"Tencent, Sequoia Capital, Matrix Partners, Sequoia Capital India, Matrix Partners India"
2,Court Square Capital Partners,"New York, New York, United States",Active,For Profit,10.0,4.0,2.0,5.0,,,"Financial Services, Lending and Investments, Other, Professional Services","Customer Service, Venture Capital",,,,,,,,,,,,,,,,6.575,,941.0,69144131.0,USD,69144131.0,
3,EnrichHER,"Atlanta, Georgia, United States",Active,For Profit,8.0,8.0,1.0,,3.0,7.0,"Community and Lifestyle, Financial Services","Communities, Crowdfunding, Financial Services, FinTech",5.0,Seed,2021-03-25,700000.0,USD,700000.0,Seed,Seed,700000.0,USD,700000.0,1550000.0,USD,1550000.0,1.0,15.572,8.441,238.0,,,,"Techstars, Lighthouse Labs RVA, Pipeline Angels, Fearless Fund, Techstars Anywhere Accelerator"
4,Tony Fadell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Hourwork,"Boston, Massachusetts, United States",Active,For Profit,,,,,2.0,9.0,"Administrative Services, Professional Services","Employment, Human Resources, Recruiting",4.0,Early Stage Venture,2022-03-28,10000000.0,USD,10000000.0,Series A,Series A,10000000.0,USD,10000000.0,13799106.0,USD,13799106.0,,284.65,,706.0,,,,"Morgan Stanley, OneValley, MassVentures, MassMutual, York IE"
6,Druva,"Sunnyvale, California, United States",Active,For Profit,,,,,7.0,17.0,"Hardware, Information Technology, Internet Services, Privacy and Security, Professional Services, Software","Cloud Data Services, Cloud Security, Compliance, Data Storage, Enterprise Software, SaaS, Software",12.0,Late Stage Venture,2021-08-05,,,,Secondary Market,Series H,,,,475000000.0,USD,475000000.0,27.0,147.051,"137,808.67",637.0,,,,"Neuberger Berman Group, Hercules Capital, Sequoia Capital India, Nexus Venture Partners, EDBI"
7,Innovaccer,"San Francisco, California, United States",Active,For Profit,,,,,5.0,22.0,"Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence, Health Care",7.0,Late Stage Venture,2021-12-15,150000000.0,USD,150000000.0,Series E,Series E,150000000.0,USD,150000000.0,379100000.0,USD,379100000.0,3.0,180.94,85.3,292.0,1650319.0,USD,1650319.0,"500 Startups, B Capital Group, Tiger Global Management, Sequoia Capital India, Lightspeed Venture Partners"
8,CoinList,"San Francisco, California, United States",Active,For Profit,2.0,,,,3.0,30.0,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Finance, Financial Services, FinTech",3.0,Early Stage Venture,2021-10-26,100000000.0,USD,100000000.0,Series A,Series A,100000000.0,USD,100000000.0,119200000.0,USD,119200000.0,1.0,"4,192,497","3,391,542.5",537.0,,,,"Digital Currency Group, Blockchain Capital, Polychain, Electric Capital, LD Capital"
9,GoStudent,"Vienna, Wien, Austria",Active,For Profit,,,,,6.0,13.0,"Education, Software","EdTech, Education, Tutoring",8.0,Late Stage Venture,2022-01-11,300000000.0,EUR,340979999.0,Series D,Series D,300000000.0,EUR,340979999.0,686338907.0,USD,686338907.0,,"2,245,399","1,993,501.17",970.0,,,,"Tencent, SoftBank Vision Fund, Coatue, Prosus, Speedinvest"
10,Moneybox,"London, England, United Kingdom",Active,For Profit,,,,,5.0,12.0,"Financial Services, Lending and Investments","Banking, Finance, Financial Services, FinTech",11.0,Late Stage Venture,2022-04-04,35000000.0,GBP,45894777.0,Series D,Series D,35000000.0,GBP,45894777.0,122558836.0,USD,122558836.0,,466.993,"220,314.5",1.262,28986179.0,USD,28986179.0,"Eight Roads Ventures, Breega, Hambro Perks Ltd., Samos Investments, Fidelity International Strategic Ventures"
11,Runa Capital,"Palo Alto, California, United States",Active,,137.0,65.0,5.0,19.0,,,"Financial Services, Lending and Investments","Finance, Venture Capital",1.0,Early Stage Venture,2021-09-22,250000.0,USD,250000.0,Series A,Series A,250000.0,USD,250000.0,250000.0,USD,250000.0,1.0,12.946,"6,080.33",168.0,,,,
12,Rajeev Chitrabhanu (MAGNETIC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Stagwell Group,"Washington, District of Columbia, United States",Active,,,,,,1.0,1.0,Financial Services,Asset Management,1.0,Private Equity,2018-08-14,260000000.0,USD,260000000.0,Private Equity,Private Equity,260000000.0,USD,260000000.0,260000000.0,USD,260000000.0,,13.611,"5,971.67",0.0,15367.0,USD,15367.0,AlpInvest Partners
14,BITKRAFT Ventures,"San Francisco, California, United States",Active,,103.0,61.0,3.0,2.0,1.0,1.0,"Financial Services, Gaming, Hardware, Lending and Investments, Media and Entertainment, Software, Sports","Digital Entertainment, eSports, Venture Capital, Video Games, Virtual Reality",1.0,,2022-04-05,2500000.0,USD,2500000.0,Corporate Round,Corporate Round,2500000.0,USD,2500000.0,2500000.0,USD,2500000.0,4.0,5.042,"5,493.83",85.0,,,,Nazara Technologies
15,Elia Montanari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Coupa Software,"San Mateo, California, United States",Active,For Profit,,,,,7.0,15.0,"Financial Services, Hardware, Internet Services, Software, Transportation","Cloud Infrastructure, FinTech, Procurement, Software",9.0,IPO,2021-06-03,50000000.0,USD,50000000.0,Post-IPO Equity,Post-IPO Equity,50000000.0,USD,50000000.0,219000000.0,USD,219000000.0,5.0,385.556,"513,554.17",814.0,78029533.0,USD,78029533.0,"T. Rowe Price, Crosslink Capital, BlueRun Ventures, Battery Ventures, Rally Ventures"
17,New Enterprise Associates,"Menlo Park, California, United States",Active,,2.026,695.0,281.0,548.0,,,"Financial Services, Health Care, Lending and Investments, Other","Consumer, Finance, Financial Services, Health Care, Venture Capital",,,,,,,,,,,,,,,3.0,22.982,"19,502.67",407.0,,,,
18,Sam Altman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Garage Capital,"Waterloo, Ontario, Canada",Active,For Profit,57.0,1.0,5.0,1.0,1.0,2.0,"Financial Services, Lending and Investments","Crowdfunding, Financial Services, Venture Capital",2.0,Seed,2018-11-05,50000000.0,USD,50000000.0,Grant,Seed,,,,50000000.0,USD,50000000.0,,3.078,,0.0,,,,"BDC Venture Capital, Venture Capital Catalyst Initiative (VCCI)"
20,Spark Capital,"San Francisco, California, United States",Active,,492.0,250.0,80.0,90.0,,,"Financial Services, Gaming, Hardware, Other, Software","Consumer Software, Enterprise, FinTech, Hardware, Online Games",,,,,,,,,,,,,,,1.0,17.518,"9,650.5",715.0,,,,
21,DigitalOcean,"New York, New York, United States",Active,For Profit,,,,,8.0,30.0,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, SaaS, Virtualization, Web Hosting",21.0,IPO,2021-09-13,34913641.0,USD,34913641.0,Post-IPO Equity,Post-IPO Equity,34913641.0,USD,34913641.0,491275418.0,USD,491275418.0,57.0,"17,035,411","14,832,070.5",676.0,18036123.0,USD,18036123.0,"Techstars, Trinity Capital, Andreessen Horowitz, Right Side Capital Management, Raison Asset Management"
22,Greycroft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Saltwater Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,The EVERY Company,"South San Francisco, California, United States",Active,For Profit,,,,,5.0,25.0,"Biotechnology, Food and Beverage, Health Care, Science and Engineering, Sustainability","Biotechnology, Food Processing, Nutrition, Sustainability",9.0,Late Stage Venture,2021-12-07,175000000.0,USD,175000000.0,Series C,Series C,175000000.0,USD,175000000.0,239750000.0,USD,239750000.0,1.0,6.631,"3,590.67",179.0,,,,"IndieBio, Temasek Holdings, SOSV, UpHonest Capital, Prosus Ventures"
25,ePlanet Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Beewise,"Bet Haemek, HaZafon, Israel",Active,For Profit,,,,,5.0,14.0,"Agriculture and Farming, Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Agriculture, AgTech, Animal Feed, Artificial Intelligence",7.0,Late Stage Venture,2022-03-30,80000000.0,USD,80000000.0,Series C,Series C,80000000.0,USD,80000000.0,118714134.0,USD,118714134.0,,48.856,"10,991.67",8.0,,,,"Insight Partners, MassChallenge, lool Ventures, Corner Ventures, Fortissimo Capital"
27,1K Kirana Bazaar,"Gurgaon, Haryana, India",Active,For Profit,,,,,2.0,9.0,"Commerce and Shopping, Other","Consumer, Retail",3.0,Early Stage Venture,2022-04-06,1950000000.0,INR,25676359.0,Series B,Series B,1950000000.0,INR,25676359.0,32668921.0,USD,32668921.0,,2.837,,0.0,,,,"Alpha Wave Global, Kae Capital, Info Edge ventures, Rajesh Yabaji, Beacon Trusteeship"
28,IMA Financial Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Mithril Capital Management,"San Francisco, California, United States",Active,,52.0,23.0,3.0,11.0,,,"Financial Services, Lending and Investments","Banking, Finance, Venture Capital",,,,,,,,,,,,,,,,1.454,"1,407.67",183.0,274279.0,USD,274279.0,
30,Proton Enterprises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Interos,"Arlington, Virginia, United States",Active,For Profit,,,,,5.0,7.0,"Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software, Transportation","Artificial Intelligence, Cyber Security, Risk Management, SaaS, Supply Chain Management",5.0,,2021-12-16,6500000.0,USD,6500000.0,Undisclosed,Undisclosed,6500000.0,USD,6500000.0,134850000.0,USD,134850000.0,,70.92,57.764,1.863,,,,"Venrock, Synetro Group, Kleiner Perkins, Accenture Ventures, Broadway Angels"
32,Kingsway Capital,"London, England, United Kingdom",Active,For Profit,52.0,14.0,1.0,1.0,,,Financial Services,"Finance, Financial Services",,,,,,,,,,,,,,,,17.032,,81.0,12714187.0,USD,12714187.0,
33,Kpler,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Active,For Profit,,,,,2.0,2.0,"Artificial Intelligence, Data and Analytics, Energy, Financial Services, Information Technology, Natural Resources, Software","Analytics, Big Data, Finance, Image Recognition, Information Technology, Oil and Gas, Predictive Analytics, Software",1.0,Private Equity,2022-04-13,185000000.0,EUR,201557769.0,Private Equity,Private Equity,185000000.0,EUR,201557769.0,185000000.0,EUR,201557769.0,,23.553,"16,035.67",368.0,,,,"Five Arrows Growth Capita, Insight Partners"
34,Forgepoint Capital,"San Mateo, California, United States",Active,,48.0,31.0,6.0,7.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,10.277,,2.288,,,,
35,Inveready,"Barcelona, Catalonia, Spain",Active,,155.0,81.0,2.0,27.0,,,"Biotechnology, Financial Services, Information Technology, Lending and Investments, Science and Engineering","FinTech, Information Technology, Life Science, Venture Capital",,,,,,,,,,,,,,,1.0,5.361,,187.0,5068952.0,USD,5068952.0,
36,Lennar Corporation,"Miami, Florida, United States",Active,For Profit,18.0,8.0,7.0,5.0,,1.0,"Community and Lifestyle, Real Estate","Construction, Lifestyle, Real Estate",1.0,IPO,2014-01-02,30000000.0,USD,30000000.0,Post-IPO Debt,,,,,30000000.0,USD,30000000.0,,"2,225,999","2,427,053",560.0,299147501.0,USD,299147501.0,East West Bank
37,Incubate Fund,"Tokyo, Tokyo, Japan",Active,,276.0,108.0,1.0,37.0,,,"Financial Services, Lending and Investments",Venture Capital,,,,,,,,,,,,,,,,3.923,"3,954.17",0.0,,,,
38,Raj Sareen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Sweetgreen,"Washington, District of Columbia, United States",Active,For Profit,3.0,,2.0,,5.0,24.0,Food and Beverage,"Food and Beverage, Organic Food, Restaurants",15.0,IPO,2019-09-19,150000000.0,USD,150000000.0,Series I,Series I,150000000.0,USD,150000000.0,478595000.0,USD,478595000.0,1.0,965.8,"808,116.83",490.0,,,,"Fidelity, T. Rowe Price, Franklin Templeton Investments, Sand Hill Angels, Revolution"
40,RBC Generator Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Helium,"San Francisco, California, United States",Active,For Profit,,,,,6.0,29.0,"Financial Services, Hardware, Internet Services, Mobile, Other, Payments, Software","Blockchain, Cryptocurrency, Internet of Things, Telecommunications, Wireless",7.0,Late Stage Venture,2022-02-19,200000000.0,USD,200000000.0,Series D,Series D,200000000.0,USD,200000000.0,364800000.0,USD,364800000.0,7.0,"22,713,650","9,739,192",1.896,671155.0,USD,671155.0,"Andreessen Horowitz, Liberty Global, Union Square Ventures, Tiger Global Management, GV"
42,Fatima Gobi Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Functionland,"Toronto, Ontario, Canada",Active,For Profit,,,,,1.0,17.0,"Other, Software","Blockchain, Software",4.0,Seed,2022-03-20,,,,Non-equity Assistance,Seed,1100000.0,USD,1100000.0,2215000.0,USD,2215000.0,,28.941,,35.0,,,,"DFINITY, Protocol Labs, Outlier Ventures, Master Ventures, DoraHacks"
44,Adobe,"San Jose, California, United States",Active,For Profit,26.0,7.0,2.0,7.0,1.0,1.0,"Content and Publishing, Data and Analytics, Media and Entertainment, Software","Enterprise Software, Image Recognition, Photo Editing, SaaS",1.0,IPO,1984-10-01,2500000.0,USD,2500000.0,Venture - Series Unknown,Venture - Series Unknown,2500000.0,USD,2500000.0,2500000.0,USD,2500000.0,196.0,"302,124,413","247,668,483.17",550.0,80765.0,USD,80765.0,Apple
45,Niantic,"San Francisco, California, United States",Active,For Profit,3.0,,,,4.0,21.0,"Gaming, Hardware, Software","Augmented Reality, Software, Video Games, Virtual Reality",5.0,Late Stage Venture,2021-11-22,300000000.0,USD,300000000.0,Series D,Series D,300000000.0,USD,300000000.0,770000000.0,USD,770000000.0,3.0,"16,457,942","12,446,161.83",880.0,869981.0,USD,869981.0,"Google, Spark Capital, Coatue, Founders Fund, Nintendo"
46,Merck,"Kenilworth, New Jersey, United States",Active,For Profit,21.0,5.0,2.0,9.0,2.0,2.0,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Medical, Pharmaceutical",2.0,IPO,2018-11-25,586000.0,USD,586000.0,Post-IPO Equity,Post-IPO Equity,586000.0,USD,586000.0,5586000.0,USD,5586000.0,7.0,815.097,"915,241.33",1.961,1041642194.0,USD,1041642194.0,"Gavi, the Vaccine Alliance, Private Capital Advisors"
47,Golden Gate Capital,"San Francisco, California, United States",Active,,18.0,6.0,,9.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,7.657,"5,888.33",314.0,46658.0,USD,46658.0,
48,Capital.Com,"London, England, United Kingdom",Active,For Profit,,,,,1.0,1.0,"Apps, Financial Services, Mobile, Software","Apps, Finance, Financial Services, FinTech, Mobile, Personal Finance",1.0,Early Stage Venture,2017-07-18,25000000.0,USD,25000000.0,Series A,Series A,25000000.0,USD,25000000.0,25000000.0,USD,25000000.0,,"5,326,876","2,417,863.17",670.0,,,,VP Capital
49,HackerRank,"Mountain View, California, United States",Active,For Profit,,,,,5.0,15.0,"Education, Internet Services, Professional Services","Employment, Internet, Internet of Things, Recruiting, Skill Assessment",5.0,Late Stage Venture,2022-03-29,60000000.0,USD,60000000.0,Series D,Series D,60000000.0,USD,60000000.0,102900000.0,USD,102900000.0,11.0,"7,813,024","7,315,150",804.0,139865.0,USD,139865.0,"Y Combinator, Khosla Ventures, SV Angel, Battery Ventures, Susquehanna Growth Equity"
50,bitsCrunch,"Munich, Bayern, Germany",Active,For Profit,,,,,2.0,22.0,"Artificial Intelligence, Data and Analytics, Information Technology, Other, Science and Engineering, Software","Analytics, Artificial Intelligence, Blockchain, Ethereum, Information Technology, Machine Learning, Predictive Analytics, Software",2.0,,2022-01-01,3600000.0,USD,3600000.0,Undisclosed,Undisclosed,3600000.0,USD,3600000.0,4350000.0,USD,4350000.0,,47.876,"226,006.17",589.0,,,,"Animoca Brands, Shima Capital, Coinbase Ventures, LedgerPrime, Borderless Capital"
51,Venture Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Somatus,"Mclean, Virginia, United States",Active,For Profit,,,,,5.0,13.0,Health Care,"Health Care, Health Diagnostics, Hospital, Medical, Wellness",5.0,Late Stage Venture,2022-02-22,325000000.0,USD,325000000.0,Series E,Series E,325000000.0,USD,325000000.0,465120000.0,USD,465120000.0,,5.765,"10,827.67",19.0,,,,"Fidelity Management and Research Company, RA Capital Management, GIC, Optum Ventures, Anthem"
53,On Deck,"San Francisco, California, United States",Active,For Profit,23.0,3.0,5.0,,2.0,36.0,"Community and Lifestyle, Professional Services","Business Development, Communities, Consulting, Professional Networking",4.0,Early Stage Venture,2021-03-25,20000000.0,USD,20000000.0,Series A,Series A,20000000.0,USD,20000000.0,20000000.0,USD,20000000.0,,116.065,96.727,959.0,,,,"Alumni Ventures, Founders Fund, DCVC, Dylan Field, Scott Belsky"
54,Providence Equity Partners,"Providence, Rhode Island, United States",Active,,52.0,26.0,3.0,27.0,,,"Financial Services, Professional Services","Business Development, Finance, Financial Services",,,,,,,,,,,,,,,,15.54,"11,255.67",495.0,5787.0,USD,5787.0,
55,Acta Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,FinAccel,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,2.0,,,1.0,6.0,21.0,"Financial Services, Lending and Investments","Consumer Lending, Finance, Financial Services",5.0,Late Stage Venture,2019-12-02,90000000.0,USD,90000000.0,Series C,Series C,90000000.0,USD,90000000.0,120000000.0,USD,120000000.0,1.0,1.308,"3,767.83",0.0,,,,"500 Startups, Mirae Asset Global Investments, MDI Ventures, Jungle Ventures, Cathay Innovation"
57,Indicator Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Hadrian,"Hawthorne, California, United States",Active,For Profit,,,,,3.0,15.0,"Manufacturing, Science and Engineering, Transportation","Aerospace, Machinery Manufacturing, Manufacturing, Supply Chain Management",3.0,Early Stage Venture,2022-03-31,90000000.0,USD,90000000.0,Series A,Series A,90000000.0,USD,90000000.0,99500000.0,USD,99500000.0,,3.97,"1,729.83",0.0,,,,"Andreessen Horowitz, Lux Capital, mymobiles price, Atlas Benjelloun, Caffeinated Capital"
59,Veev,"San Mateo, California, United States",Active,For Profit,,,,,4.0,16.0,"Consumer Electronics, Real Estate","Construction, Real Estate, Smart Building, Smart Home",8.0,Late Stage Venture,2022-02-24,400000000.0,USD,400000000.0,Series D,Series D,400000000.0,USD,400000000.0,597000000.0,USD,597000000.0,,48.429,"16,429.5",307.0,,,,"Fifth Wall, Bond, Khosla Ventures, Western Technology Investment, Zeev Ventures"
60,Viberate,"Ljubljana, Ljubljana Urban Commune, Slovenia",Active,For Profit,,,,,,2.0,"Data and Analytics, Design, Media and Entertainment, Music and Audio","Analytics, Big Data, Market Research, Media and Entertainment, Music",4.0,Early Stage Venture,2022-01-31,3500000.0,USD,3500000.0,Series A,Series A,3500000.0,USD,3500000.0,15500000.0,USD,15500000.0,,142.785,"98,564.33",306.0,,,,"George Burke, ABC Accelerator"
61,Yoco,"Cape Town, NA - South Africa, South Africa",Active,For Profit,,,,,4.0,21.0,"Commerce and Shopping, Financial Services, Mobile, Other, Payments, Software","Financial Services, FinTech, Mobile Payments, Payments, Point of Sale, Small and Medium Businesses",6.0,Late Stage Venture,2021-07-27,83000000.0,USD,83000000.0,Series C,Series C,83000000.0,USD,83000000.0,106000000.0,USD,106000000.0,,396.449,"135,148.17",856.0,,,,"Quona Capital, Musha Ventures, HOF Capital, Breyer Capital, 4DX Ventures"
62,54gene,"Washington, District of Columbia, United States",Active,For Profit,,,,,3.0,23.0,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Genetics, Health Care, Life Science",9.0,Early Stage Venture,2021-09-16,25000000.0,USD,25000000.0,Series B,Series B,25000000.0,USD,25000000.0,44725000.0,USD,44725000.0,,34.791,"17,689.5",858.0,,,,"Y Combinator, Bienville Capital, Fifty Years, Hack VC, Cathay Innovation"
63,eGateway Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,WarnerMedia,"New York, New York, United States",Active,For Profit,1.0,,,,,,"Advertising, Media and Entertainment, Sales and Marketing, Video","Advertising, Media and Entertainment, TV",,M&A,,,,,,,,,,,,,2.0,"3,089,926","2,059,511.67",265.0,,,,
65,Innova Memphis,"Memphis, Tennessee, United States",Active,,305.0,61.0,104.0,9.0,,,"Agriculture and Farming, Financial Services, Health Care, Lending and Investments, Other, Transportation","AgTech, B2B, Logistics, Medical, Supply Chain Management, Venture Capital",,,,,,,,,,,,,,,,5.022,,7.0,,,,
66,Westbridge Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Prosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Fundrise,"Washington, District of Columbia, United States",Active,For Profit,,,,,4.0,18.0,"Financial Services, Real Estate","Finance, Financial Services, FinTech, Real Estate, Real Estate Investment",8.0,,2021-06-03,300000000.0,USD,300000000.0,Debt Financing,Equity Crowdfunding,14500000.0,USD,14500000.0,355485000.0,USD,355485000.0,,"4,756,028","1,805,595.5",400.0,62100.0,USD,62100.0,"Goldman Sachs, Collaborative Fund, Terrence Rohan, Guggenheim Partners, Renren"
69,Legend Holdings,"Nashville, Tennessee, United States",Active,For Profit,,,,,,,Financial Services,Insurance,1.0,,2019-12-31,4016595.0,USD,4016595.0,Venture - Series Unknown,Venture - Series Unknown,4016595.0,USD,4016595.0,4016595.0,USD,4016595.0,,,,,,,,
70,Casdin Capital,"New York, New York, United States",Active,,193.0,33.0,57.0,63.0,,,"Biotechnology, Financial Services, Science and Engineering","Biotechnology, Financial Services, Life Science",,,,,,,,,,,,,,,,3.28,"5,481.33",3.0,,,,
71,BookMyShow,"Mumbai, Maharashtra, India",Active,For Profit,2.0,1.0,,1.0,6.0,7.0,"Commerce and Shopping, Events, Internet Services, Media and Entertainment, Sports","Digital Entertainment, E-Commerce, Event Management, Events, Internet, Media and Entertainment, Online Auctions, Social Media, Sports",6.0,,2019-01-01,,,,Venture - Series Unknown,Venture - Series Unknown,,,,224500000.0,USD,224500000.0,1.0,,,,,,,"Accel, Stripes, Elevation Capital, SAIF Partners, TPG Growth"
72,Brightspark Ventures,"Montr̩al, Quebec, Canada",Active,,56.0,19.0,,10.0,2.0,2.0,"Financial Services, Lending and Investments","Angel Investment, Financial Services, Venture Capital",2.0,,2018-11-05,50000000.0,USD,50000000.0,Grant,Venture - Series Unknown,6000000.0,USD,6000000.0,56000000.0,USD,56000000.0,1.0,1.368,"2,170.67",1.064,619426.0,USD,619426.0,"Kensington Capital Partners Limited, Venture Capital Catalyst Initiative (VCCI)"
73,Accel,"Palo Alto, California, United States",Active,For Profit,1.805,703.0,155.0,350.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,15.0,63.724,"77,132.5",325.0,982686.0,USD,982686.0,
74,Lighthouse Capital Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Sorenson Capital,"Lehi, Utah, United States",Active,,71.0,37.0,4.0,25.0,,,"Financial Services, Lending and Investments","Financial Services, Venture Capital",,,,,,,,,,,,,,,1.0,,,,,,,
76,SVB Capital,"Palo Alto, California, United States",Active,,65.0,15.0,7.0,8.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,2.0,415.508,"262,142.67",1.14,291011.0,USD,291011.0,
77,Xerox,"Norwalk, Connecticut, United States",Active,For Profit,3.0,2.0,,,,7.0,"Content and Publishing, Hardware, Information Technology, Media and Entertainment, Software","Digital Media, Hardware, Information Technology, Printing, Software",4.0,M&A,2020-01-06,24000000000.0,USD,24000000000.0,Post-IPO Equity,Post-IPO Equity,24000000000.0,USD,24000000000.0,27200000000.0,USD,27200000000.0,10.0,"2,562,451","2,318,289.67",445.0,774681842.0,USD,774681842.0,"Citi, JP Morgan Chase, Goldman Sachs, Credit Suisse, Merrill Lynch"
78,Igah Ventures.,"Ṣo Paulo, Sao Paulo, Brazil",Active,,52.0,22.0,,6.0,,,"Financial Services, Lending and Investments",Venture Capital,,,,,,,,,,,,,,,,,,,,,,
79,Northern Arc,"Chennai, Tamil Nadu, India",Active,For Profit,41.0,22.0,,2.0,11.0,13.0,"Financial Services, Other","Enterprise, Finance, Financial Services",13.0,,2021-09-29,1000000000.0,INR,13454865.0,Debt Financing,Corporate Round,,,,447083209.0,USD,447083209.0,,5.362,"2,888.67",123.0,,,,"LeapFrog Investments, Standard Chartered Bank, Kotak Mahindra Bank, Eight Roads Ventures, Affirma Capital"
80,Bosch,"Stuttgart, Baden-Wurttemberg, Germany",Active,For Profit,30.0,10.0,1.0,5.0,,,"Consumer Electronics, Consumer Goods, Hardware, Information Technology, Manufacturing, Science and Engineering, Transportation","Automotive, Consumer Goods, Electronics, Industrial, Industrial Engineering, Information Technology, Manufacturing, Mechanical Engineering, Sensor",,,,,,,,,,,,,,,59.0,955.694,"1,215,520.67",591.0,17480.0,USD,17480.0,
